dim	coefficient
538	0.0012003122673289353
539	-0.11465506177974435
540	-0.17548725217730396
541	-0.005938527536095035
542	-0.12771823857279246
543	-0.059686556105768465
544	-0.09247850773109502
545	-0.08898024319602024
546	-0.013200566609441057
547	-0.13679530645815008
548	-0.1091271074533388
549	0.04358630433911134
550	-0.002263194911363134
551	-0.05952709003154212
552	-0.031085155658283403
553	-0.020065479714712387
554	-0.11140191921636507
555	-0.11949744999244082
556	-0.06452703411794117
557	-0.09622908798429183
558	-0.1082326827433379
559	-0.15850364271088574
560	-0.07713303155905646
561	-0.07992270662647
562	-0.08003986173015241
563	-0.0424370924923
564	-0.042723168450298984
565	-0.05963717189496865
566	-0.0919217738387836
567	-0.10651936831434841
568	0.02866073069374712
569	-0.10911686399997911
570	-0.014214176806862867
571	-0.020650475954090457
572	0.011171284465432994
573	0.08780139003388282
574	0.0026717715638618373
575	-0.08764773028450865
576	-0.04935240838575647
577	-0.014704974497311507
578	-0.07797808796939604
579	-0.041952013540642666
580	-0.010904104808460525
581	-0.11842885628395423
582	-0.0845436044755629
583	0.050844506651215156
584	-0.16869774289252795
585	-0.009437882102909662
586	-0.01564480782274621
587	-0.04596506527392556
588	-0.033358155535447985
589	-0.03783464514739937
590	0.023906511968872744
591	-0.17842723124287602
592	-0.06495224948985101
593	-0.1286346249596176
594	-0.029496899409770988
595	-0.03935751708408131
596	-0.031269483866735004
597	-0.23147951703832947
598	-0.018510084228637976
599	-0.079337564755818
600	-0.08271977405596241
601	0.0017104452931879753
602	-0.0814001596846356
603	-0.03144208863242463
604	-0.08478327659478677
605	-0.047033718225316476
606	-0.10876384369165551
607	-0.012577688442457081
608	-0.0028227814989369923
609	-0.04801497909884881
610	0.023838895134018573
611	0.023486900797172208
612	-0.03514505425220561
613	-0.0913188102050002
614	-0.061671715628921195
615	-0.08456417475369772
616	-0.10688966517091168
617	-0.0231554136688406
618	-0.13361135336549668
619	-0.058600229452914224
620	-0.027424756118328397
621	0.04337144209352953
622	0.019917043402288035
623	-0.033170269422792
624	-0.018422787055771533
625	-0.11629901195976404
626	-0.05930047294169616
627	-0.017982344121409123
628	-0.1158841862025736
629	-0.06257935483603555
630	-0.1024627168113633
631	0.043832581822740184
632	0.023961602725483252
633	-0.014459214815101217
634	-0.0894986401377206
635	-0.10036334977510183
636	-0.06891215096030455
637	0.012268171787514881
638	-0.02630345910162636
639	-0.11063332724113636
640	-0.11919019648206969
641	-0.03800595947776671
642	-0.11159709396767793
643	-0.10007573832595032
644	-0.07703938312206682
645	-0.050926647497178304
646	-0.14903738365619204
647	-0.12002466056375677
648	-0.01935375843443707
649	-0.08773698839589687
650	-0.12823770401551465
651	-0.07969981699646285
652	0.022832446062381426
653	-0.08166088867972204
654	0.010349527809202076
655	-0.16390577545371035
656	0.03590657729943968
657	-0.13749362634238563
658	-0.11048888897469729
659	-0.04895528346921191
660	0.04742745618335391
661	-0.05555157783379988
662	-0.09042204104792848
663	-0.10377101232090545
664	-0.05801233556489221
665	-0.0897159779829751
666	-0.13687308111017174
667	-0.059848573532556196
668	-0.0694649033178448
669	0.04212390203286071
670	-0.12492892391305203
671	-0.08810750361931503
672	-0.0031730347643114526
673	-0.05322980839012044
674	-0.005385271413961584
675	-0.06099559523689911
676	-0.13862948856049465
677	-0.05960981347658596
678	-0.03913468692715841
679	-0.05926306595371797
680	0.0007011873588751577
681	-0.08091217365691687
682	-0.11723966151943835
683	0.011447268772363621
684	0.008008896027361798
685	-0.16341634162405486
686	-0.05436251774588155
687	-0.07352834189514437
688	-0.05785886785775526
689	-0.1270513662391901
690	0.03534763788666116
691	-0.08084093877244118
